word	hyphenated	song	occurrence	syllables	context
’gainst	’gainst	*	*	1	*
’neath	’neath	*	*	1	*
’tis	’tis	*	*	1	*
’twas	’twas	*	*	1	*
’twere	’twere	*	*	1	*
’twill	’twill	*	*	1	*
’twould	’twould	*	*	1	*
Absalom	Ab·sa·lom	*	*	3	*
affections	af·fec·tions	*	*	3	*
afflictions	af·flic·tions	*	*	3	*
amiable	a·mia·ble	*	*	3	How amiable they are!
amours	a·mours	*	*	2	*
angel’s	an·gel’s	*	*	2	*
angels	an·gels	*	*	2	*
anthems	an·thems	*	*	2	*
Apollyon	A·poll·yon	*	*	3	*
apostates	a·pos·tates	*	*	3	*
apostles	a·pos·tles	*	*	3	*
arduous	ar·duous	372	1	2	Thy arduous work will not be done
arts	arts	*	*	1	*
availeth	a·vail·eth	*	*	3	*
Babel’s	Ba·bel’s	*	*	2	*
Babylon	Ba·by·lon	*	*	3	*
Baptist	Bap·tist	*	*	2	*
Bartimeus	Bar·ti·meus	*	*	3	*
beasts	beasts	*	*	1	*
beauteous	beau·teous	*	*	2	How beauteous are their feet
beauty’s	beau·ty’s	*	*	2	*
believer’s	be·liev·er’s	*	*	3	*
Bible	Bi·ble	*	*	2	*
blessed	bless·ed	560	1	2	And when my blessed Savior bids me come
blessed	bless·ed	542	1	2	The blessed  bleeding Lamb
Blessed	Bless·ed	508	1	2	Blessed are the pure in heart -- note this is case sensitive
blessed	blessed	508	1	1	The meek He blessed with righteousness -- note this is case sensitive
blessed	bless·ed	493	1	2	And ne’er forsake the blessed road
blessed	bless·ed	480	1	2	Our blessed Savior died;
blessed	bless·ed	480	2	2	There between two thieves our blessed Lord
blessed	bless·ed	410.2	1	2	And with my blessed Jesus
blessed	bless·ed	378.2	1	2	When to that blessed world I rise
blessed	bless·ed	342	1	2	The dear blessed Bible!
blessed	bless·ed	342	2	2	The dear blessed Bible!
blessed	blessed	341	1	1	He blessed his dear children  who for him now mourn
blessed	bless·ed	334	1	2	“He leadeth me”—O blessed thought!
Blessed	Bless·ed	320	1	2	Blessed are the dead that die in the Lord
blessed	bless·ed	319	1	2	And with my blessed Jesus
blessed	bless·ed	225.1	1	2	Forever blessed be the Lord
blessed	bless·ed	157	1	2	And still our blessed Jesus
blessed	bless·ed	145.2	1	2	To my blessed Savior’s feet.
blessed	bless·ed	109	1	2	I love my blessed Savior
blessed	bless·ed	85	1	2	And with my blessed Jesus
blessed	bless·ed	82.1	1	2	And with my blessed Jesu
blessed	bless·ed	77.1	1	2	Oh  what a blessed hope is ours
blessed	bless·ed	62	2	2	But with our blessed holy Lord
blessed	bless·ed	62	1	2	Oh glorious day! Oh blessed hope!
blessings	bless·ings	*	*	2	*
body’s	bod·y’s	*	*	2	*
boist’rous	bois·t’rous	*	*	2	*
bounteous	boun·teous	113	1	2	And bounteous are his hands
bow’r	bow’r	*	*	1	*
bow’rs	bow’rs	*	*	1	*
bowels	bow·els	*	*	2	*
brawlings	brawl·ings	*	*	2	*
bus’ness	bus·’ness	*	*	2	*
called	call·ed	260	1	2	"Hark! my dear friends, for death has called me."
callest	call·est	*	*	2	*
Calvary	Cal·va·ry	*	*	3	*
camel’s	cam·el’s	*	*	2	*
can’t	can’t	*	*	1	*
Canaan	Ca·naan	*	*	2	*
Canaan’s	Ca·naan’s	*	*	2	*
captain’s	cap·tain’s	*	*	2	*
cedars	ce·dars	*	*	2	*
chariot	char·iot	*	*	2	*
chariots	char·iots	*	*	2	*
chast’ning	chast·’ning	*	*	2	*
cherubims	cher·u·bims	*	*	3	*
cherubs	cher·ubs	*	*	2	*
chid	chid	*	*	1	*
chiefest	chief·est	*	*	2	*
chorus	cho·rus	*	*	2	*
Christ	Christ	*	*	1	*
Christian	Chris·tian	*	*	2	*
Christian’s	Chris·tian’s	*	*	2	*
Christians	Chris·tians	*	*	2	*
church’s	church·’s	*	*	2	*
closed	clos·ed	495	1	2	"Oh, when scene was closed"
closer	clos·er	*	*	2	*
Columbia	Co·lum·bia	*	*	3	"Columbia, Columbia, to glory arise"
combat’s	com·bat’s	*	*	2	*
cometh	com·eth	*	*	2	*
comp’ny’s	com·p’ny’s	*	*	2	*
complaints	com·plaints	*	*	2	*
comprehendeth	com·pre·hend·eth	*	*	4	*
comrades	com·rades	*	*	2	*
connections	con·nec·tions	*	*	3	*
conqu’ring	con·qu’ring	*	*	2	*
conqu’ror	con·qu’ror	*	*	2	*
conversation’s	con·ver·sa·tion’s	*	*	4	*
Cornland	Corn·land	*	*	2	*
cov’ring	cov·’ring	*	*	2	*
cradle’s	cra·dle’s	*	*	2	*
creation’s	cre·a·tion’s	*	*	3	*
creator’s	cre·a·tor’s	*	*	3	*
creatures	crea·tures	*	*	2	*
cried	cri·ed	250	1	2	And cried to the rocks and mountains
crimes	crimes	*	*	1	*
currents	cur·rents	*	*	2	*
cursed	cursed	*	*	1	*
cursed	curs·ed	214	1	2	Hung on that cursed tree
cursed	curs·ed	39.1	1	2	And turn each cursed idol out
dang’rous	dan·g’rous	*	*	2	*
dangers	dan·gers	*	*	2	*
Daniel’s	Dan·iel’s	*	*	2	*
daughters	daugh·ters	*	*	2	*
David	Da·vid	*	*	2	*
David’s	Da·vid’s	*	*	2	*
dead’s	dead’s	*	*	1	*
death’s	death’s	*	*	1	*
deceivers	de·ceiv·ers	*	*	3	*
December’s	De·cem·ber’s	*	*	3	*
deeps	deeps	*	*	1	*
deliv’rer	de·liv·’rer	*	*	3	*
depths	depths	*	*	1	*
desert	des·ert	*	*	2	*
despised	de·spis·ed	229	1	3	"What poor, despised company"
despised	de·spis·ed	125	1	3	"When in devious paths we stray,"
devious	de·vious	561	1	2	"What poor, despised company"
dewdrops	dew·drops	*	*	2	*
diff’rent	dif·f’rent	*	*	2	*
directions	di·rec·tions	*	*	3	*
disciples	dis·ci·ples	*	*	3	*
distressed	dis·tress·ed	141	1	3	But now I am distressed
don’t	don’t	*	*	1	*
dragons	drag·ons	*	*	2	*
driv’n	driv’n	*	*	1	*
duty’s	du·ty’s	*	*	2	*
e’en	e’en	*	*	1	*
e’er	e’er	*	*	1	*
earliest	ear·li·est	*	*	3	*
earth’s	earth’s	*	*	1	*
Ebenezer	Eb·en·ez·er	*	*	4	*
Eden	E·den	*	*	2	*
Eden’s	E·den’s	*	*	2	*
Edom	E·dom	*	*	2	*
efforts	ef·forts	*	*	2	*
Egypt’s	E·gypt’s	*	*	2	*
elders	eld·ers	*	*	2	*
Elijah	E·li·jah	*	*	3	*
Eloi	E·loi	*	*	2	*
Elysian	E·ly·sian	*	*	3	*
elysian	e·ly·sian	139	1	3	Round the bright elysian.
emerald	em·erald	139	1	2	Burst ye emerald gates and bring
enfurled	en·furled	*	*	2	*
engagements	en·gage·ments	*	*	3	*
enjoyments	en·joy·ments	*	*	3	*
ensigns	en·signs	*	*	2	*
ent’ring	en·t’ring	*	*	2	*
entertainments	en·ter·tain·ments	*	*	4	*
Esaias	E·sai·as	*	*	3	*
Euphrates	Eu·phra·tes	*	*	3	*
ev’n	ev’n	*	*	1	*
ev’ry	ev·’ry	*	*	2	*
ev’ryone	ev·’ry·one	*	*	3	*
evening	eve·ning	*	*	2	*
events	e·vents	*	*	2	*
every	ev·e·ry	179	1	3	And many sore conflicts on every hand;
every	ev·e·ry	179	2	3	"O Jesus, be with me in every battle,"
experience	ex·pe·rience	317	1	3	When I experience call to mind
failures	fail·ures	*	*	2	*
farthest	far·thest	*	*	2	*
father’s	fa·ther’s	*	*	2	*
fav’rites	fav·’rites	*	*	2	*
feelings	feel·ings	*	*	2	*
firstfruits	first·fruits	*	*	2	*
flatt’ries	flat·t’ries	*	*	2	*
flatt’ry	flat·t’ry	*	*	2	*
flow’r	flow’r	*	*	1	*
flow’rs	flow’rs	*	*	1	*
flow’ry	flow·’ry	*	*	2	*
flutt’ring	flut·t’ring	*	*	2	*
foes	foes	*	*	1	*
foll’wer	fol·l’wer	*	*	2	*
foll’wers	fol·l’wers	*	*	2	*
footsteps	foot·steps	*	*	2	*
fore’er	for·e’er	*	*	2	*
forgiv’n	for·giv’n	*	*	2	*
Former	For·mer	130	1	2	"Former friends, oh, how I’ve sought them,"
friend’s	friend’s	*	*	1	*
friendship’s	friend·ship’s	*	*	2	*
Gabriel	Ga·briel	*	*	2	*
Gabriel’s	Ga·briel’s	*	*	2	*
gales	gales	*	*	1	*
gath’ring	gath·’ring	*	*	2	*
gathered	gath·er·ed	250	1	3	"Bond and free, gathered themselves together,"
gen’rous	gen·’rous	*	*	2	*
generations	gen·er·a·tions	*	*	4	*
Gilead	Gil·ead	223	*	2	"There’s balm in Gilead,"
giv’n	giv’n	*	*	1	*
glitt’ring	glit·t’ring	*	*	2	*
glorious	glo·rious	*	*	2	And since my glorious God
God’s	God’s	*	*	1	*
gods	gods	*	*	1	*
gospel’s	gos·pel’s	*	*	2	*
grave	grave	*	*	1	*
griefs	griefs	*	*	1	*
grieved	griev·ed	268	1	2	David the king was grieved and moved
groanings	groan·ings	*	*	2	*
groves	groves	*	*	1	*
guardian	guard·ian	158	1	2	"When God was thy ransom, and guardian, and guide;"
halle	hal·le	*	*	2	*
hallelu	hal·le·lu	*	*	3	*
hallelujahs	hal·le·lu·jahs	*	*	4	*
handworks	hand·works	*	*	2	*
happier	hap·pier	136	1	2	"Then, richer than kings, and far happier than they"
happy’s	hap·py’s	*	*	2	*
harmonious	har·mo·nious	*	*	3	And join the great harmonious choir
hast’ning	hast·’ning	*	*	2	*
he’ll	he’ll	*	*	1	*
he’s	he’s	*	*	1	*
healed	heal·ed	116	1	2	"My soul he hath healed, my heart hath rejoiced;"
health’s	health’s	*	*	1	*
heart’s	heart’s	*	*	1	*
heav’n	heav’n	*	*	1	*
heav’nly	heav’n·ly	*	*	2	*
heav’ns	heav’ns	*	*	1	*
heaven’s	heav·en’s	*	*	2	*
heavens	heav·ens	*	*	2	*
Hebrew	He·brew	*	*	2	*
heirs	heirs	*	*	1	*
hell’s	hell’s	*	*	1	*
helpers	help·ers	*	*	2	*
here’s	here’s	*	*	1	*
higher	high·er	*	*	2	*
