page	sort	Uppercase	Title Case	Title for Indexing	Disambiguation Key	Uppercase + Key	Title + Key	Indexing + Key	Short Attribution	Italicize short attribution?	Living composer / arranger?	Arr. status
26	26	SAMARIA	Samaria	Samaria		SAMARIA	Samaria	Samaria	Cagle		-	
27t	27.1	BETHEL	Bethel	Bethel		BETHEL	Bethel	Bethel	Sacred Harp	yes	-	
27b	27.2	ROCHESTER	Rochester	Rochester		ROCHESTER	Rochester	Rochester	Holdroyd		-	
28t	28.1	AYLESBURY	Aylesbury	Aylesbury		AYLESBURY	Aylesbury	Aylesbury	Book of Psalmody	yes	-	
28b	28.2	WELLS	Wells	Wells		WELLS	Wells	Wells	Holdroyd		-	
29t	29.1	FAIRFIELD	Fairfield	Fairfield		FAIRFIELD	Fairfield	Fairfield	Hitchcock		-	
29b	29.2	TRIBULATION	Tribulation	Tribulation		TRIBULATION	Tribulation	Tribulation	Patterson’s Church Music	yes	-	
30t	30.1	LOVE DIVINE	Love Divine	Love Divine		LOVE DIVINE	Love Divine	Love Divine	Waller		-	
30b	30.2	PROSPECT	Prospect	Prospect		PROSPECT	Prospect	Prospect	Graham		-	
31t	31.1	NINETY-THIRD PSALM	Ninety-Third Psalm	Ninety-Third Psalm		NINETY-THIRD PSALM	Ninety-Third Psalm	Ninety-Third Psalm	Chapin		-	Arr.
31b	31.2	WEBSTER	Webster	Webster		WEBSTER	Webster	Webster	Southern Harmony	yes	-	Arr.
32t	32.1	CORINTH	Corinth	Corinth		CORINTH	Corinth	Corinth	Massengale		-	Arr.
32b	32.2	DISTRESS	Distress	Distress		DISTRESS	Distress	Distress	Southern Harmony	yes	-	
33t	33.1	WEEPING SAVIOR	Weeping Savior	Weeping Savior	King	WEEPING SAVIOR (King)	Weeping Savior (King)	Weeping Savior (King)	King		-	
33b	33.2	ABBEVILLE	Abbeville	Abbeville		ABBEVILLE	Abbeville	Abbeville	King		-	Arr.
34t	34.1	THE GOSPEL POOL	The Gospel Pool	Gospel Pool, The		THE GOSPEL POOL	The Gospel Pool	Gospel Pool, The	Dumas		-	
34b	34.2	ST. THOMAS	St. Thomas	St. Thomas		ST. THOMAS	St. Thomas	St. Thomas	Williams		-	
35	35	SAINTS BOUND FOR HEAVEN	Saints Bound for Heaven	Saints Bound for Heaven		SAINTS BOUND FOR HEAVEN	Saints Bound for Heaven	Saints Bound for Heaven	King & Walker		-	
36t	36.1	AMERICA	America	America		AMERICA	America	America	Wetmore		-	
36b	36.2	NINETY-FIFTH	Ninety-Fifth	Ninety-Fifth		NINETY-FIFTH	Ninety-Fifth	Ninety-Fifth	Colton		-	
37t	37.1	ESTER	Ester	Ester		ESTER	Ester	Ester	Terry		-	Arr.
37b	37.2	LIVERPOOL	Liverpool	Liverpool		LIVERPOOL	Liverpool	Liverpool	Davis		-	Arr.
38t	38.1	WINTER	Winter	Winter		WINTER	Winter	Winter	Read		-	
38b	38.2	WINDHAM	Windham	Windham		WINDHAM	Windham	Windham	Read		-	
39t	39.1	DETROIT	Detroit	Detroit		DETROIT	Detroit	Detroit	Bradshaw		-	
39b	39.2	SHARPSBURG	Sharpsburg	Sharpsburg		SHARPSBURG	Sharpsburg	Sharpsburg	Rees & Shell		-	
40	40	LENOX	Lenox	Lenox		LENOX	Lenox	Lenox	Edson		-	
41	41	EVENING HYMN	Evening Hymn	Evening Hymn		EVENING HYMN	Evening Hymn	Evening Hymn	West		-	
42	42	CLAMANDA	Clamanda	Clamanda		CLAMANDA	Clamanda	Clamanda	Sacred Harp	yes	-	Arr.
43	43	PRIMROSE HILL	Primrose Hill	Primrose Hill		PRIMROSE HILL	Primrose Hill	Primrose Hill	Sacred Harp	yes	-	Arr.
44	44	THE CONVERTED THIEF	The Converted Thief	Converted Thief, The		THE CONVERTED THIEF	The Converted Thief	Converted Thief, The	Moore		-	
45t	45.1	NEW BRITAIN	New Britain	New Britain		NEW BRITAIN	New Britain	New Britain	Southern Harmony	yes	-	Arr.
45b	45.2	IMANDRA NEW	Imandra New	Imandra New		IMANDRA NEW	Imandra New	Imandra New	Southern Harmony	yes	-	
46	46	LET US SING	Let Us Sing	Let Us Sing		LET US SING	Let Us Sing	Let Us Sing	Moore		-	Arr.
47t	47.1	PRIMROSE	Primrose	Primrose		PRIMROSE	Primrose	Primrose	Chapin		-	
47b	47.2	IDUMEA	Idumea	Idumea		IDUMEA	Idumea	Idumea	Davisson		-	
48t	48.1	DEVOTION	Devotion	Devotion	Johnson	DEVOTION (Johnson)	Devotion (Johnson)	Devotion (Johnson)	Johnson		-	
48b	48.2	KEDRON	Kedron	Kedron		KEDRON	Kedron	Kedron	United States’ Sacred Harmony	yes	-	
49t	49.1	OLD HUNDRED	Old Hundred	Old Hundred		OLD HUNDRED	Old Hundred	Old Hundred	Genevan Psalter		-	
49b	49.2	MEAR	Mear	Mear		MEAR	Mear	Mear	Sett of Tunes	yes	-	
50t	50.1	DEVOTION	Devotion	Devotion	Read	DEVOTION (Read)	Devotion (Read)	Devotion (Read)	Read		-	
50b	50.2	CANAAN	Canaan	Canaan		CANAAN	Canaan	Canaan	Edson		-	
51	51	STAR IN THE EAST	Star in the East	Star in the East		STAR IN THE EAST	Star in the East	Star in the East	Herron		-	
52t	52.1	ALBION	Albion	Albion		ALBION	Albion	Albion	Boyd		-	
52b	52.2	CHARLESTOWN	Charlestown	Charlestown		CHARLESTOWN	Charlestown	Charlestown	United States’ Sacred Harmony	yes	-	
53	53	JERUSALEM	Jerusalem	Jerusalem		JERUSALEM	Jerusalem	Jerusalem	Walker		-	Arr.
54	54	RUSSELL	Russell	Russell		RUSSELL	Russell	Russell	Day		-	
55	55	CONVERSE	Converse	Converse		CONVERSE	Converse	Converse	Lowry		-	Arr.
56t	56.1	COLUMBIANA	Columbiana	Columbiana		COLUMBIANA	Columbiana	Columbiana	White		-	
56b	56.2	VILLULIA	Villulia	Villulia		VILLULIA	Villulia	Villulia	Day		-	Arr.
57	57	CHRISTIAN SOLDIER	Christian Soldier	Christian Soldier		CHRISTIAN SOLDIER	Christian Soldier	Christian Soldier	Songs of Zion	yes	-	
58	58	PISGAH	Pisgah	Pisgah		PISGAH	Pisgah	Pisgah	Lowry		-	
59	59	HOLY MANNA	Holy Manna	Holy Manna		HOLY MANNA	Holy Manna	Holy Manna	Moore		-	Arr.
60	60	DAY OF WORSHIP	Day of Worship	Day of Worship		DAY OF WORSHIP	Day of Worship	Day of Worship	Davis		-	
61	61	SWEET RIVERS	Sweet Rivers	Sweet Rivers		SWEET RIVERS	Sweet Rivers	Sweet Rivers	Moore		-	
62	62	PARTING HAND	Parting Hand	Parting Hand		PARTING HAND	Parting Hand	Parting Hand	Walker		-	Arr.
63	63	CORONATION	Coronation	Coronation		CORONATION	Coronation	Coronation	Holden		-	
64	64	NASHVILLE	Nashville	Nashville		NASHVILLE	Nashville	Nashville	Johnson		-	Arr.
65	65	SWEET PROSPECT	Sweet Prospect	Sweet Prospect		SWEET PROSPECT	Sweet Prospect	Sweet Prospect	Walker		-	Arr.
66	66	JORDAN	Jordan	Jordan	Billings	JORDAN (Billings)	Jordan (Billings)	Jordan (Billings)	Billings		-	
67	67	COLUMBUS	Columbus	Columbus		COLUMBUS	Columbus	Columbus	Southern Harmony	yes	-	Arr.
68t	68.1	SALEM	Salem	Salem		SALEM	Salem	Salem	Bovell		-	
68b	68.2	ORTONVILLE	Ortonville	Ortonville		ORTONVILLE	Ortonville	Ortonville	Hastings		-	Arr. from
69t	69.1	MINISTER’S FAREWELL	Minister’s Farewell	Minister’s Farewell		MINISTER’S FAREWELL	Minister’s Farewell	Minister’s Farewell	Wyeth’s Repository	yes	-	
69b	69.2	FAREWELL TO ALL	Farewell to All	Farewell to All		FAREWELL TO ALL	Farewell to All	Farewell to All	Rees		-	
70t	70.1	GAINSVILLE	Gainsville	Gainsville		GAINSVILLE	Gainsville	Gainsville	Jones		-	
70b	70.2	SAVE, MIGHTY LORD	Save, Mighty Lord	Save, Mighty Lord		SAVE, MIGHTY LORD	Save, Mighty Lord	Save, Mighty Lord	Wade		-	
71	71	LEANDER	Leander	Leander		LEANDER	Leander	Leander	Tennessee Harmony	yes	-	
72t	72.1	THE WEARY SOUL	The Weary Soul	Weary Soul, The		THE WEARY SOUL	The Weary Soul	Weary Soul, The	White		-	Arr.
72b	72.2	BELLEVUE	Bellevue	Bellevue		BELLEVUE	Bellevue	Bellevue	Chambless		-	Arr.
73t	73.1	CUSSETA	Cusseta	Cusseta		CUSSETA	Cusseta	Cusseta	Massengale		-	
73b	73.2	ARLINGTON	Arlington	Arlington		ARLINGTON	Arlington	Arlington	Arne		-	Arr. from
74t	74.1	THE ENQUIRER	The Enquirer	Enquirer, The		THE ENQUIRER	The Enquirer	Enquirer, The	White		-	
74b	74.2	KING OF PEACE	King of Peace	King of Peace		KING OF PEACE	King of Peace	King of Peace	Price		-	Arr.
75	75	I WOULD SEE JESUS	I Would See Jesus	I Would See Jesus		I WOULD SEE JESUS	I Would See Jesus	I Would See Jesus	Breedlove		-	
76t	76.1	HOLINESS	Holiness	Holiness		HOLINESS	Holiness	Holiness	King		-	
76b	76.2	DESIRE FOR PIETY	Desire for Piety	Desire for Piety		DESIRE FOR PIETY	Desire for Piety	Desire for Piety	White		-	
77t	77.1	THE CHILD OF GRACE	The Child of Grace	Child of Grace, The		THE CHILD OF GRACE	The Child of Grace	Child of Grace, The	King		-	Arr.
77b	77.2	HOLCOMBE	Holcombe	Holcombe		HOLCOMBE	Holcombe	Holcombe	Wallace		-	
78	78	STAFFORD	Stafford	Stafford		STAFFORD	Stafford	Stafford	Read		-	
79	79	THE OLD SHIP OF ZION	The Old Ship of Zion	Old Ship of Zion, The		THE OLD SHIP OF ZION	The Old Ship of Zion	Old Ship of Zion, The	Carter		-	
80t	80.1	TROUBLES OVER	Troubles Over	Troubles Over		TROUBLES OVER	Troubles Over	Troubles Over	Rees		-	
80b	80.2	SERVICE OF THE LORD	Service of the Lord	Service of the Lord		SERVICE OF THE LORD	Service of the Lord	Service of the Lord	King		-	
81t	81.1	BEACH SPRING	Beach Spring	Beach Spring		BEACH SPRING	Beach Spring	Beach Spring	White		-	
81b	81.2	WINDLESHAM	Windlesham	Windlesham		WINDLESHAM	Windlesham	Windlesham	Brett		Living	
82t	82.1	BOUND FOR CANAAN	Bound for Canaan	Bound for Canaan		BOUND FOR CANAAN	Bound for Canaan	Bound for Canaan	King		-	
82b	82.2	EDGEFIELD	Edgefield	Edgefield		EDGEFIELD	Edgefield	Edgefield	White		-	Arr.
83t	83.1	VALE OF SORROW	Vale of Sorrow	Vale of Sorrow		VALE OF SORROW	Vale of Sorrow	Vale of Sorrow	White		-	
83b	83.2	THE DYING MINISTER	The Dying Minister	Dying Minister, The		THE DYING MINISTER	The Dying Minister	Dying Minister, The	Dumas		-	
84	84	AMSTERDAM	Amsterdam	Amsterdam		AMSTERDAM	Amsterdam	Amsterdam	Foundery Collection	yes	-	
85	85	THE MORNING TRUMPET	The Morning Trumpet	Morning Trumpet, The		THE MORNING TRUMPET	The Morning Trumpet	Morning Trumpet, The	White		-	
86	86	POLAND	Poland	Poland		POLAND	Poland	Poland	Swan		-	
87	87	SWEET CANAAN	Sweet Canaan	Sweet Canaan		SWEET CANAAN	Sweet Canaan	Sweet Canaan	King		-	Arr.
88t	88.1	DONE WITH THE WORLD	Done with the World	Done with the World		DONE WITH THE WORLD	Done with the World	Done with the World	White		-	
88b	88.2	MOUNT ZION	Mount Zion	Mount Zion	Massengale	MOUNT ZION (Massengale)	Mount Zion (Massengale)	Mount Zion (Massengale)	Massengale		-	
89	89	THE CHURCH’S DESOLATION	The Church’s Desolation	Church’s Desolation, The		THE CHURCH’S DESOLATION	The Church’s Desolation	Church’s Desolation, The	White		-	Arr.
90	90	LOOK OUT	Look Out	Look Out		LOOK OUT	Look Out	Look Out	White		-	
91	91	ASSURANCE	Assurance	Assurance		ASSURANCE	Assurance	Assurance	Billings		-	
92	92	BURK	Burk	Burk		BURK	Burk	Burk	White		-	
93	93	FROZEN HEART	Frozen Heart	Frozen Heart		FROZEN HEART	Frozen Heart	Frozen Heart	King		-	Arr.
94	94	NEVER PART	Never Part	Never Part		NEVER PART	Never Part	Never Part	Carwell		-	Arr.
95	95	VERNON	Vernon	Vernon		VERNON	Vernon	Vernon	Chapin		-	Arr.
96	96	FEW HAPPY MATCHES	Few Happy Matches	Few Happy Matches		FEW HAPPY MATCHES	Few Happy Matches	Few Happy Matches	Crane		-	Arr. from
97	97	WE’LL SOON BE THERE	We’ll Soon Be There	We’ll Soon Be There		WE’LL SOON BE THERE	We’ll Soon Be There	We’ll Soon Be There	Bradfield		-	Arr.
98	98	DULL CARE	Dull Care	Dull Care		DULL CARE	Dull Care	Dull Care	King		-	Arr.
99	99	GOSPEL TRUMPET	Gospel Trumpet	Gospel Trumpet		GOSPEL TRUMPET	Gospel Trumpet	Gospel Trumpet	King		-	Arr.
100	100	THE BOWER OF PRAYER	The Bower of Prayer	Bower of Prayer, The		THE BOWER OF PRAYER	The Bower of Prayer	Bower of Prayer, The	King		-	Arr.
101t	101.1	CANAAN’S LAND	Canaan’s Land	Canaan’s Land		CANAAN’S LAND	Canaan’s Land	Canaan’s Land	King		-	
101b	101.2	HOLY CITY	Holy City	Holy City		HOLY CITY	Holy City	Holy City	White		-	
102	102	FULFILLMENT	Fulfillment	Fulfillment		FULFILLMENT	Fulfillment	Fulfillment	King		-	
103	103	ANIMATION	Animation	Animation		ANIMATION	Animation	Animation	Sacred Harp	yes	-	
104	104	THE LOVELY STORY	The Lovely Story	Lovely Story, The		THE LOVELY STORY	The Lovely Story	Lovely Story, The	King		-	Arr.
105	105	JEWETT	Jewett	Jewett		JEWETT	Jewett	Jewett	Mann		-	
106	106	ECSTASY	Ecstasy	Ecstasy		ECSTASY	Ecstasy	Ecstasy	Carter		-	
107	107	RUSSIA	Russia	Russia		RUSSIA	Russia	Russia	Read		-	
108t	108.1	WEEPING SINNERS	Weeping Sinners	Weeping Sinners		WEEPING SINNERS	Weeping Sinners	Weeping Sinners	Rees		-	
108b	108.2	THE TRAVELER	The Traveler	Traveler, The		THE TRAVELER	The Traveler	Traveler, The	Ogletree		-	Arr.
109	109	CARNSVILLE	Carnsville	Carnsville		CARNSVILLE	Carnsville	Carnsville	King		-	Arr.
110	110	MOUNT VERNON	Mount Vernon	Mount Vernon		MOUNT VERNON	Mount Vernon	Mount Vernon	Jenks		-	
111t	111.1	JOURNEY HOME	Journey Home	Journey Home		JOURNEY HOME	Journey Home	Journey Home	Mann		-	
111b	111.2	TO DIE NO MORE	To Die No More	To Die No More		TO DIE NO MORE	To Die No More	To Die No More	Dumas		-	Arr.
112	112	THE LAST WORDS OF COPERNICUS	The Last Words of Copernicus	Last Words of Copernicus, The		THE LAST WORDS OF COPERNICUS	The Last Words of Copernicus	Last Words of Copernicus, The	Lancaster		-	
113	113	THE PRODIGAL SON	The Prodigal Son	Prodigal Son, The		THE PRODIGAL SON	The Prodigal Son	Prodigal Son, The	King		-	Arr.
114	114	SAINT’S DELIGHT	Saint’s Delight	Saint’s Delight		SAINT’S DELIGHT	Saint’s Delight	Saint’s Delight	Price		-	
115	115	HOLBROOK	Holbrook	Holbrook		HOLBROOK	Holbrook	Holbrook	Steel		Living	
116	116	HOOPER	Hooper	Hooper		HOOPER	Hooper	Hooper	Parsons & Titford-Mock		Living	Arr. from
117	117	BABYLON IS FALLEN	Babylon Is Fallen	Babylon Is Fallen		BABYLON IS FALLEN	Babylon Is Fallen	Babylon Is Fallen	Chute		-	Arr.
118	118	HEAVENLY MEETING	Heavenly Meeting	Heavenly Meeting		HEAVENLY MEETING	Heavenly Meeting	Heavenly Meeting	McCurry		-	Arr.
119	119	HEAVEN’S MY HOME	Heaven’s My Home	Heaven’s My Home		HEAVEN’S MY HOME	Heaven’s My Home	Heaven’s My Home	Davis & Terry		-	
120	120	CHAMBERS	Chambers	Chambers		CHAMBERS	Chambers	Chambers	Holyoke		-	Arr. from
121	121	FLORENCE	Florence	Florence		FLORENCE	Florence	Florence	Carter		-	Arr.
