Page in 1991	Page in 2025	Action
24.1	-	remove
24.2	-	remove
25	-	remove
26	26	keep
27	27.1	renumber
-	27.2	insert
28.1	28.1	keep
28.2	28.2	keep
29.1	29.1	keep
29.2	29.2	keep
30.1	30.1	keep
30.2	30.2	keep
31.1	31.1	keep
31.2	31.2	keep
32.1	32.1	keep
32.2	32.2	keep
33.1	33.1	keep
33.2	33.2	keep
34.1	34.1	keep
34.2	34.2	keep
35	35	keep
36.1	36.1	keep
36.2	36.2	keep
37.1	37.1	keep
37.2	37.2	keep
38.1	38.1	keep
38.2	38.2	keep
39.1	39.1	keep
39.2	39.2	keep
40	40	keep
41	41	replace
42	42	keep
43	43	keep
44	44	keep
45.1	45.1	keep
45.2	45.2	keep
46	46	keep
47.1	47.1	keep
47.2	47.2	keep
48.1	48.1	keep
48.2	48.2	keep
49.1	49.1	keep
49.2	49.2	keep
50.1	50.1	replace
50.2	50.2	replace
51	51	replace
52.1	52.1	keep
52.2	52.2	keep
53	53	keep
54	54	replace
55	55	replace
56.1	56.1	keep
56.2	56.2	keep
57	57	keep
58	58	keep
59	59	keep
60	60	keep
61	61	keep
62	62	keep
63	63	keep
64	64	keep
65	65	keep
66	66	keep
67	67	keep
68.1	68.1	keep
68.2	68.2	keep
69.1	69.1	keep
69.2	69.2	keep
70.1	70.1	keep
70.2	70.2	keep
71	71	keep
72.1	72.1	keep
72.2	72.2	keep
73.1	73.1	keep
73.2	73.2	keep
74.1	74.1	keep
74.2	74.2	keep
75	75	keep
76.1	76.1	keep
76.2	76.2	keep
77.1	77.1	keep
77.2	77.2	keep
78	78	keep
79	79	keep
80.1	80.1	replace
80.2	80.2	keep
81.1	81.1	keep
81.2	81.2	replace
82.1	82.1	keep
82.2	82.2	keep
83.1	83.1	keep
83.2	83.2	keep
84	84	keep
85	85	keep
86	86	keep
87	87	keep
88.1	88.1	keep
88.2	88.2	keep
89	89	keep
90	90	keep
91	91	keep
92	92	keep
93	93	keep
94	94	keep
95	95	keep
96	96	keep
97	97	keep
98	98	keep
99	99	keep
100	100	keep
101.1	101.1	keep
101.2	101.2	keep
102	102	keep
103	103	keep
104	104	keep
105	105	keep
106	106	keep
107	107	keep
108.1	108.1	keep
108.2	108.2	keep
109	109	keep
110	110	keep
111.1	111.1	keep
111.2	111.2	keep
112	112	keep
113	113	keep
114	114	keep
115	115	replace
116	116	replace
117	117	keep
118	118	replace
119	119	keep
120	120	keep
121	121	keep
122	122	keep
123.1	123.1	keep
123.2	123.2	keep
124	124	keep
125	125	keep
126	126	keep
127	127	keep
128	128	keep
129	129	keep
130	130	replace
131.1	131.1	keep
131.2	131.2	keep
132	132	keep
133	133	keep
134	134	keep
135	135	keep
136	136	keep
137	137	keep
138.1	138.1	keep
138.2	138.2	keep
139	139	keep
140	140	replace
141	141	keep
142	142	keep
143	143	keep
144	144	keep
145.1	145.1	keep
145.2	145.2	keep
146	146	keep
147.1	147.1	keep
147.2	147.2	keep
148	148	keep
149	149	keep
150	150	keep
151	151	keep
152	152	keep
153	153	keep
154	154	keep
155	155	keep
156	156	keep
157	157	keep
158	158	keep
159	159	keep
160.1	160.1	replace
160.2	160.2	keep
161	161	replace
162	162	keep
163.1	163.1	keep
163.2	163.2	keep
164	164	keep
165	165	keep
166	166	keep
167	167	keep
168	168	keep
169	169	replace
170	170	keep
171	171	keep
172	172	keep
173	173	keep
174	174	keep
