Page in 1991	Sort	Page in 2025	Ready	Title	Text Meter	Scripture	Key	Text Attribution	Tune Attribution	Copyright
26	26	26	TRUE	SAMARIA	L.M.D.	He is the Rock, his work is perfect.—Deut. 32:4.	F Minor	Isaac Watts, 1719.	Maggie Denson Cagle, 1936.	Copyright 1936 Sacred Harp Publishing Company.
27	27	27.1	TRUE	BETHEL	C.M.	And Enoch walked with God: and he was not; for God took him.—Gen. 5:24.	F Minor	William Cowper, 1772.	The Sacred Harp, 1844. Alto S. M. Denson, 1911.	[no copyright]
n628	10628	27.2	TRUE	ROCHESTER	C.M.	And I beheld, and I heard the voice of many angels round about the throne.—Rev. 5:11.	A Major	Isaac Watts, 1707.	Israel Holdroyd, 1722.	[no copyright]
28t	28.1	28.1	TRUE	AYLESBURY	S.M.	According to thy name, O God, so is thy praise unto the ends of the earth: thy right hand is full of righteousness.—Ps. 48:10.	A Minor	Isaac Watts, 1719.	A Book of Psalmody, 1717.	[no copyright]
28b	28.2	28.2	TRUE	WELLS	L.M.	Whatsoever thy hand findeth to do, do it with thy might; for there is no work ... in the grave, whither thou goest.—Eccles. 9:10.	G Major	Isaac Watts, 1709.	Israel Holdroyd, 1722.	[no copyright]
29t	29.1	29.1	TRUE	FAIRFIELD	C.M.	And so will I go in unto the king, which is not according to the law: and if I perish, I perish.—Esther 4:16.	A Minor	Edmund Jones, 1787.	Miles Hitchcock, 1790.	[no copyright]
29b	29.2	29.2	TRUE	TRIBULATION	C.M.	The fool hath said in his heart, There is no God.—Ps. 14:1.	D Minor	Isaac Watts, 1707.	Patterson’s Church Music, 1813.	[no copyright]
30t	30.1	30.1	TRUE	LOVE DIVINE	8s & 7s D.	God is love; and he that dwelleth in love dwelleth in God, and God in him.—1 John 4:16.	C Major	Charles Wesley, 1747.	Thomas Waller, 1870. Alto Lessie Green, 1902.	[no copyright]
30b	30.2	30.2	TRUE	PROSPECT	L.M.	The Lord will strengthen him upon the bed of languishing: thou wilt make all his bed in his sickness.—Ps. 41:3.	C Major	Isaac Watts, 1707.	Graham, 1835. Alto William Walker, 1867.	[no copyright]
31t	31.1	31.1	TRUE	NINETY-THIRD PSALM	S.M.	By grace ye are saved.—Eph. 2:5.	C Major	Philip Doddridge, 1755.	Arr. Lucius Chapin, 1812. Alto W. M. Cooper, 1902.	[no copyright]
31b	31.2	31.2	TRUE	WEBSTER	S.M.	If a man love me, he will keep my words.—John 14:23.	G Major	Isaac Watts, 1707.	Arr. The Southern Harmony, 1835. Alto S. M. Denson, 1911.	[no copyright]
32t	32.1	32.1	TRUE	CORINTH	L.M.	Whosoever therefore shall be ashamed of me and of my words ... of him also shall the Son of man be ashamed.—Mark 8:38.	G Major	Joseph Grigg, 1765.	Arr. John Massengale, 1844. Alto S. M. Denson, 1911.	[no copyright]
32b	32.2	32.2	TRUE	DISTRESS	L.M.	Then they cried unto the Lord in their trouble, and he delivered them out of their distresses.—Ps. 107:6.	E Minor	Anne Steele, 1760.	The Southern Harmony, 1835. Alto Hugh W. McGraw, 1971.	[no copyright]
33t	33.1	33.1	TRUE	WEEPING SAVIOR	S.M.	And when he was come near, he beheld the city, and wept over it.—Luke 19:41.	F♯ Minor	Benjamin Beddome, 1787.	E. J. King, 1844. Alto The Christian Harmony, 1867.	[no copyright]
33b	33.2	33.2	TRUE	ABBEVILLE	S.M.	They were all filled with the Holy Ghost, and they spake the word of God with boldness.—Acts 4:31.	A Major	Benjamin Beddome, 1800.	Arr. E. J. King, 1844. Alto W. M. Cooper, 1902.	[no copyright]
34t	34.1	34.1	TRUE	THE GOSPEL POOL	S.M.	Wilt thou be made whole?—John 5:6.	F Major	John Newton, 1779.	Edmund Dumas, 1870.	[no copyright]
34b	34.2	34.2	TRUE	ST. THOMAS	S.M.	Sing unto the Lord, bless his name.—Ps. 96:2.	A Major	Isaac Watts, 1719.	Aaron Williams, 1763.	[no copyright]
35	35	35	TRUE	SAINTS BOUND FOR HEAVEN	P.M.	I am the Lord thy God, which brought thee out of the land of Egypt, from the house of bondage.—Deut. 5:6.	B♭ Major	Social and Camp-Meeting Songs, 1825.	J. King and William Walker, 1840. Alto S. M. Denson, 1911.	[no copyright]
36t	36.1	36.1	TRUE	AMERICA	S.M.	The Lord is merciful and gracious, slow to anger, and plenteous in mercy.—Ps. 103:8.	A Minor	Isaac Watts, 1719.	Truman S. Wetmore, 1798.	[no copyright]
36b	36.2	36.2	TRUE	NINETY-FIFTH	C.M.	Give diligence to make your calling and election sure.—2 Pet. 1:10.	A Major	Isaac Watts, 1707.	Colton, 1813.	[no copyright]
37t	37.1	37.1	TRUE	ESTER	L.M.	How excellent is thy lovingkindness, O God!—Ps. 36:7.	F Major	Samuel Medley, 1782.	Arr. John S. Terry, 1870.	[no copyright]
37b	37.2	37.2	TRUE	LIVERPOOL	C.M.	Remember now thy Creator in the days of thy youth.—Eccles. 12:1.	F Major	Hall’s New Collection, 1804.	Arr. M. C. H. Davis, 1835. Alto S. M. Denson, 1911.	[no copyright]
38t	38.1	38.1	TRUE	WINTER	C.M.	Out of whose womb came the ice? and the hoary frost of heaven, who hath gendered it?—Job 38:29.	F Major	Isaac Watts, 1719.	Daniel Read, 1785.	[no copyright]
38b	38.2	38.2	TRUE	WINDHAM	L.M.	Wide is the gate, and broad is the way, that leadeth to destruction.—Matt. 7:13.	F Minor	Isaac Watts, 1709.	Daniel Read, 1785.	[no copyright]
39t	39.1	39.1	TRUE	DETROIT	C.M.	He saith unto him, Yea, Lord; thou knowest that I love thee.—John 21:15.	E Minor	Philip Doddridge, 1755.	Bradshaw, 1820.	[no copyright]
39b	39.2	39.2	TRUE	SHARPSBURG	C.M.	Blessed is he whose transgression is forgiven, whose sin is covered.—Ps. 32:1.	D Major	Philip Doddridge, 1755.	J. P. Rees and J. A. Z. Shell, 1870. Alto S. M. Denson, 1911.	[no copyright]
40	40	40	TRUE	LENOX	H.M.	Blow the trumpet among the nations, prepare the nations.—Jer. 51:27.	B♭ Major	Charles Wesley, 1750.	Lewis Edson, 1782.	[no copyright]
n1184	11184	41	TRUE	EVENING HYMN	S.M.	In the morning it flourisheth ... in the evening it is cut down.—Ps. 90:6.	B Minor	John Leland, 1790.	Elisha West, 1802.	[no copyright]
42	42	42	TRUE	CLAMANDA	L.M.D.	If the Lord delight in us, then he will bring us into this land, and give it us.—Num. 14:8.	E Minor	John Poage Campbell, 1806.	Arr. The Sacred Harp, 1844. Alto W. M. Cooper, 1902.	[no copyright]
43	43	43	TRUE	PRIMROSE HILL	C.M.	Give diligence to make your calling and election sure: for if ye do these things, ye shall never fall.—2 Pet. 1:10.	G Major	Isaac Watts, 1707.	Arr. The Sacred Harp, 1844. Alto S. M. Denson, 1911.	[no copyright]
44	44	44	TRUE	THE CONVERTED THIEF	C.M.D.	And Jesus said unto him ... To day shalt thou be with me in paradise.—Luke 23:43.	C Major	Samuel Stennett, 1787.	William Moore, 1825. Alto The Christian Harmony, 1867.	[no copyright]
45t	45.1	45.1	TRUE	NEW BRITAIN	C.M.	For by grace are ye saved through faith ... it is the gift of God.—Eph. 2:8.	C Major	John Newton, 1779.	Arr. The Southern Harmony, 1835. Alto The Hesperian Harp, 1848.	[no copyright]
45b	45.2	45.2	TRUE	IMANDRA NEW	11s.	He that loveth not his brother abideth in death.—1 John 3:14.	F Major	Thomas Cleland, 1807.	The Southern Harmony, 1835. Alto The Christian Harmony, 1867.	[no copyright]
46	46	46	TRUE	LET US SING	[no marking]	Speaking to yourselves in psalms and hymns and spiritual songs, singing and making melody in your heart to the Lord.—Eph. 5:19.	G Major	W. F. Moore, 1867.	Arr. W. F. Moore, 1867. Alto The Union Harp, 1909.	[no copyright]
47t	47.1	47.1	TRUE	PRIMROSE	C.M.	For the grace of God that bringeth salvation hath appeared to all men.—Titus 2:11.	A Major	Isaac Watts, 1707.	Amzi Chapin, 1812.	[no copyright]
47b	47.2	47.2	TRUE	IDUMEA	S.M.	A time to be born, and a time to die.—Eccles. 3:2.	A Minor	Charles Wesley, 1763.	Ananias Davisson, 1816. Treble The Western Harmony, 1824. Alto The Hesperian Harp, 1848.	[no copyright]
48t	48.1	48.1	TRUE	DEVOTION	L.M.	Eye hath not seen, nor ear heard ... the things which God hath prepared for them that love him.—1 Cor. 2:9.	C Major	Isaac Watts, 1719.	Alexander Johnson, 1818. Alto Introduction to Sacred Music, 1835.	[no copyright]
48b	48.2	48.2	TRUE	KEDRON	L.M.	Lord, remember me.—Luke 23:42.	E Minor	Charles Wesley, 1762.	The United States’ Sacred Harmony, 1799.	[no copyright]
49t	49.1	49.1	TRUE	OLD HUNDRED	L.M.	Sing, O ye heavens ... break forth into singing, ye mountains, O forest, and every tree therein.—Isa. 44:23.	A Major	Tate and Brady, 1696.	Pseaumes octante trois de David, 1551.	[no copyright]
49b	49.2	49.2	TRUE	MEAR	C.M.	O God, why hast thou cast us off for ever?—Ps. 74:1.	G Major	Isaac Watts, 1719.	A Sett of Tunes, 1720. Alto Urania, 1761.	[no copyright]
n1251	11251	50.1	TRUE	DEVOTION	L.M.	And he said, My presence shall go with thee, and I will give thee rest.—Exod. 33:14.	C Major	Isaac Watts, 1719.	Daniel Read, 1787.	[no copyright]
n160	10160	50.2	TRUE	CANAAN	C.M.	In the multitude of my thoughts within me thy comforts delight my soul.—Ps. 94:19.	G Major	Philip Doddridge, 1755.	Lewis Edson, 1801.	[no copyright]
n1241	11241	51	TRUE	STAR IN THE EAST	11s & 10s.	And the Word was made flesh, and dwelt among us.—John 1:14.	C Major	v. 1 Brick Church Hymns, 1825. v. 2–5 Reginald Heber, 1811.	R. Herron, 1826. Alto Harmonia Sacra, 1866.	[no copyright]
52t	52.1	52.1	TRUE	ALBION	S.M.	For where two or three are gathered together in my name, there am I in the midst of them.—Matt. 18:20.	G Major	Isaac Watts, 1707.	Robert Boyd, 1816.	[no copyright]
52b	52.2	52.2	TRUE	CHARLESTOWN	8s & 7s.	He began to cry out, and say, Jesus, thou Son of David, have mercy on me.—Mark 10:47.	F Major	John Newton, 1779.	The United States’ Sacred Harmony, 1799. Alto W. M. Cooper, 1902.	[no copyright]
53	53	53	TRUE	JERUSALEM	L.M.	In hope of eternal life, which God, that cannot lie, promised before the world began.—Titus 1:2.	A Minor	John Cennick, 1743.	Arr. William Walker, 1832. Alto 1867.	[no copyright]
n450	10450	54	TRUE	RUSSELL	L.M.D.	Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope.—Rom. 15:13.	E Minor	Anne Steele, 1780.	J. M. Day, 1850.	[no copyright]
n598	10598	55	TRUE	CONVERSE	P.M.	They speak vanity every one with his neighbour: with flattering lips and with a double heart do they speak.—Ps. 12:2.	A Major	Isaac Watts, 1709.	Arr. James C. Lowry, 1820.	[no copyright]
56t	56.1	56.1	TRUE	COLUMBIANA	8s & 7s.	And God is able to make all grace abound toward you.—2 Cor. 9:8.	C Major	John Newton, 1779.	D. P. White, 1850.	[no copyright]
56b	56.2	56.2	TRUE	VILLULIA	8s & 7s.	What wilt thou that I should do unto thee? The blind man said unto him, Lord, that I might receive my sight.—Mark 10:51.	F♯ Minor	John Newton, 1779.	Arr. J. M. Day, 1850. Alto W. M. Cooper, 1902.	[no copyright]
57	57	57	TRUE	CHRISTIAN SOLDIER	C.M.D.	Watch ye, stand fast in the faith, quit you like men, be strong.—1 Cor. 16:13.	G Major	Isaac Watts, 1724.	Songs of Zion, 1821. Alto William Walker, 1867.	[no copyright]
